ID,Municipio,IPM Municipal
41791,TARQUI,47.1
41797,TESALIA,36.1
41799,TELLO,44.5
41801,TERUEL,39.9
41807,TIMANÁ,40.8
41872,VILLAVIEJA,37.9
41885,YAGUARÁ,23.8
44001,RIOHACHA,45.1
44035,ALBANIA,49.8
44078,BARRANCAS,46.7
44090,DIBULLA,65.5
44098,DISTRACCIÓN,40.2
44110,EL MOLINO,37.0
44279,FONSECA,36.0
44378,HATONUEVO,43.3
44420,LA JAGUA DEL PILAR,43.0
44430,MAICAO,60.0
44560,MANAURE,86.7
44650,SAN JUAN DEL CESAR,36.6
44847,URIBIA,92.2
44855,URUMITA,32.0
44874,VILLANUEVA,31.0
47001,SANTA MARTA,24.4
47030,ALGARROBO,57.3
47053,ARACATACA,50.0
47058,ARIGUANÍ,56.4
47161,CERRO DE SAN ANTONIO,62.4
47170,CHIVOLO,53.3
47189,CIÉNAGA,44.6
47205,CONCORDIA,67.9
47245,EL BANCO,54.7
47258,EL PIÑÓN,50.4
47268,EL RETÉN,63.6
47288,FUNDACIÓN,43.9
47318,GUAMAL,60.3
47460,NUEVA GRANADA,66.4
47541,PEDRAZA,56.2
47545,PIJIÑO DEL CARMEN,60.8
47551,PIVIJAY,52.4
47555,PLATO,52.7
47570,PUEBLOVIEJO,58.0
47605,REMOLINO,50.6
47660,SABANAS DE SAN ÁNGEL,69.4
47675,SALAMINA,44.3
47692,SAN SEBASTIÁN DE BUENAVISTA,63.8
47703,SAN ZENÓN,56.4
47707,SANTA ANA,47.3
47720,SANTA BÁRBARA DE PINTO,57.8
47745,SITIONUEVO,70.7
47798,TENERIFE,56.3
47960,ZAPAYÁN,70.4
47980,ZONA BANANERA,48.6
50001,VILLAVICENCIO,15.9
50006,ACACÍAS,19.2
50110,BARRANCA DE UPÍA,36.5
50124,CABUYARO,32.2
50150,CASTILLA LA NUEVA,23.1
50223,CUBARRAL,21.8
50226,CUMARAL,22.7
50245,EL CALVARIO,29.7
50251,EL CASTILLO,42.2
50270,EL DORADO,28.9
50287,FUENTE DE ORO,32.0
50313,GRANADA,29.6
50318,GUAMAL,22.6
50325,MAPIRIPÁN,64.2
50330,MESETAS,45.1
50350,LA MACARENA,67.9
50370,URIBE,60.4
50400,LEJANÍAS,39.9
50450,PUERTO CONCORDIA,53.0
50568,PUERTO GAITÁN,51.8
50573,PUERTO LÓPEZ,32.7
50577,PUERTO LLERAS,43.5
50590,PUERTO RICO,47.1
50606,RESTREPO,15.3
50680,SAN CARLOS DE GUAROA,31.9
50683,SAN JUAN DE ARAMA,37.9
50686,SAN JUANITO,43.2
50689,SAN MARTÍN,25.5
50711,VISTAHERMOSA,48.5
52001,PASTO,16.3
52019,ALBÁN,44.2
52022,ALDANA,29.1
52036,ANCUYA,22.2
52051,ARBOLEDA,54.3
52079,BARBACOAS,76.1
52083,BELÉN,34.1
52110,BUESACO,39.2
52203,COLÓN,42.4
52207,CONSACÁ,34.9
52210,CONTADERO,44.0
52215,CÓRDOBA,41.8
52224,CUASPUD CARLOSAMA,51.4
52227,CUMBAL,28.6
52233,CUMBITARA,39.4
52240,CHACHAGÜÍ,32.2
52250,EL CHARCO,75.9
52254,EL PEÑOL,43.0
52256,EL ROSARIO,52.1
52258,EL TABLÓN DE GÓMEZ,50.4
52260,EL TAMBO,31.9
52287,FUNES,41.1
52317,GUACHUCAL,30.4
52320,GUAITARILLA,33.6
52323,GUALMATÁN,30.9
52352,ILES,43.6
52354,IMUÉS,40.2
52356,IPIALES,23.4
52378,LA CRUZ,27.8
52381,LA FLORIDA,59.0
52385,LA LLANADA,33.6
52390,LA TOLA,73.9
52399,LA UNIÓN,48.6
52405,LEIVA,55.3
52411,LINARES,32.9
52418,LOS ANDES,44.9
52427,MAGÜÍ,85.3
52435,MALLAMA,39.0
52473,MOSQUERA,70.2
52480,NARIÑO,40.8
52490,OLAYA HERRERA,75.9
52506,OSPINA,28.9
52520,FRANCISCO PIZARRO,69.5
52540,POLICARPA,38.7
52560,POTOSÍ,27.5
52565,PROVIDENCIA,55.3
52573,PUERRES,32.7
52585,PUPIALES,32.2
52612,RICAURTE,71.9
52621,ROBERTO PAYÁN,81.0
52678,SAMANIEGO,47.7
52683,SANDONÁ,28.9
52685,SAN BERNARDO,59.4
52687,SAN LORENZO,55.3
52693,SAN PABLO,41.1
52694,SAN PEDRO DE CARTAGO,54.6
52696,SANTA BÁRBARA,75.1
52699,SANTACRUZ,65.1
52720,SAPUYES,43.0
52786,TAMINANGO,36.1
52788,TANGUA,46.0
52835,SAN ANDRÉS DE TUMACO,53.7
52838,TÚQUERRES,32.5
52885,YACUANQUER,44.2
54001,SAN JOSÉ DE CÚCUTA,25.7
54003,ÁBREGO,55.8
54051,ARBOLEDAS,53.5
54099,BOCHALEMA,36.3
54109,BUCARASICA,67.9
54125,CÁCOTA,48.9
54128,CÁCHIRA,56.4
54172,CHINÁCOTA,30.3
54174,CHITAGÁ,54.8
54206,CONVENCIÓN,64.0
54223,CUCUTILLA,71.1
54239,DURANIA,44.5
54245,EL CARMEN,68.9
54250,EL TARRA,71.2
54261,EL ZULIA,41.9
54313,GRAMALOTE,42.3
54344,HACARÍ,73.4
54347,HERRÁN,52.4
54377,LABATECA,41.3
54385,LA ESPERANZA,57.1
54398,LA PLAYA,67.9
54405,LOS PATIOS,21.4
54418,LOURDES,45.3
54480,MUTISCUA,42.2
54498,OCAÑA,31.4
54518,PAMPLONA,20.5
54520,PAMPLONITA,41.7
54553,PUERTO SANTANDER,42.9
54599,RAGONVALIA,41.4
54660,SALAZAR,48.8
54670,SAN CALIXTO,73.5
54673,SAN CAYETANO,37.6
54680,SANTIAGO,48.1
54720,SARDINATA,53.8
54743,SILOS,46.6
54800,TEORAMA,67.1
54810,TIBÚ,57.6
54820,TOLEDO,50.1
54871,VILLA CARO,64.8
54874,VILLA DEL ROSARIO,24.6
63001,ARMENIA,14.4
63111,BUENAVISTA,29.0
63130,CALARCÁ,19.9
63190,CIRCASIA,17.3
63212,CÓRDOBA,30.7
63272,FILANDIA,18.1
63302,GÉNOVA,33.1
63401,LA TEBAIDA,27.4
63470,MONTENEGRO,25.8
63548,PIJAO,28.8
63594,QUIMBAYA,22.0
63690,SALENTO,19.7
66001,PEREIRA,15.1
66045,APÍA,33.6
66075,BALBOA,31.6
66088,BELÉN DE UMBRÍA,35.6
66170,DOSQUEBRADAS,13.7
66318,GUÁTICA,36.5
66383,LA CELIA,37.5
66400,LA VIRGINIA,19.0
66440,MARSELLA,33.3
66456,MISTRATÓ,65.3
66572,PUEBLO RICO,70.5
66594,QUINCHÍA,41.4
66682,SANTA ROSA DE CABAL,21.2
66687,SANTUARIO,39.9
68001,BUCARAMANGA,14.2
68013,AGUADA,41.8
68020,ALBANIA,48.1
68051,ARATOCA,40.6
68077,BARBOSA,21.6
68079,BARICHARA,28.5
68081,BARRANCABERMEJA,26.4
68092,BETULIA,43.9
68101,BOLÍVAR,45.5
68121,CABRERA,34.0
68132,CALIFORNIA,21.2
68147,CAPITANEJO,35.7
68152,CARCASÍ,60.8
68160,CEPITÁ,32.0
68162,CERRITO,41.9
68167,CHARALÁ,26.9
68169,CHARTA,35.1
68176,CHIMA,45.2
68179,CHIPATÁ,42.8
68190,CIMITARRA,36.0
68207,CONCEPCIÓN,36.2
68209,CONFINES,32.6
68211,CONTRATACIÓN,29.2
68217,COROMORO,53.6
68229,CURITÍ,35.7
68235,EL CARMEN DE CHUCURI,58.9
68245,EL GUACAMAYO,33.0
68250,EL PEÑÓN,57.8
68255,EL PLAYÓN,45.7
68264,ENCINO,32.0
68266,ENCISO,35.3
68271,FLORIÁN,56.0
68276,FLORIDABLANCA,11.0
68296,GALÁN,41.9
68298,GÁMBITA,51.1
68307,GIRÓN,16.5
