,,Privaciones Municipios,,,,,,,,,,,,,,
ID,Municipio,Analfabetismo,Bajo logro educativo,Barreras a servicios para cuidado de la primera infancia,Barreras de acceso a servicios de salud,Tasa de dependencia,Hacinamiento crítico,Inadecuada eliminación de excretas,Inasistencia escolar,Material inadecuado de paredes exteriores,Material inadecuado de pisos,Rezago escolar,Sin acceso a fuente de agua mejorada,Sin aseguramiento en salud,Trabajo infantil,Trabajo informal
08296,GALAPA,8.1,40.1,2.8,1.3,40.5,17.8,12.9,7.7,3.4,2.6,14.3,3.3,17.4,0.5,85.0
08372,JUAN DE ACOSTA,17.8,53.6,2.3,2.2,38.0,15.8,67.1,8.1,1.5,4.7,14.2,7.0,12.7,1.1,91.2
08421,LURUACO,25.8,65.7,3.4,5.2,51.0,19.8,29.5,5.8,3.2,13.9,19.2,41.8,20.5,0.9,93.2
08433,MALAMBO,10.6,44.2,3.0,5.0,41.3,16.7,14.3,6.5,1.8,3.0,23.0,6.2,17.6,0.7,88.5
08436,MANATÍ,24.4,59.9,3.3,1.0,53.2,22.5,41.6,8.5,0.9,4.2,21.8,8.7,19.8,1.0,92.3
08520,PALMAR DE VARELA,13.9,48.6,2.0,2.8,51.0,17.9,56.8,6.1,4.2,4.6,17.5,5.8,13.1,0.5,86.7
08549,PIOJÓ,26.2,61.5,2.6,0.1,40.9,14.7,58.7,5.9,1.8,9.8,15.4,18.0,18.8,0.8,87.6
08558,POLONUEVO,13.6,47.7,1.9,4.6,38.2,18.9,37.8,5.1,3.6,4.3,18.6,11.7,13.4,0.7,85.3
08560,PONEDERA,28.7,65.4,2.5,5.2,46.5,23.8,19.7,6.3,5.9,8.7,20.6,6.6,17.8,1.0,90.0
08573,PUERTO COLOMBIA,5.2,23.4,2.6,2.0,28.2,11.7,6.5,3.0,2.7,2.3,13.6,4.7,18.5,0.5,80.7
08606,REPELÓN,24.6,66.0,3.0,8.3,49.0,21.9,67.3,5.7,0.7,10.4,24.5,13.0,18.6,0.9,90.9
08634,SABANAGRANDE,14.9,46.7,2.6,2.8,43.0,20.0,4.9,4.9,3.4,4.2,18.8,3.7,19.6,0.8,86.2
08638,SABANALARGA,19.4,46.7,3.4,4.1,47.4,18.8,15.0,5.2,4.5,6.3,15.5,11.6,20.7,0.6,89.6
08675,SANTA LUCÍA,20.5,65.8,2.5,1.1,58.3,16.5,32.1,6.2,3.8,7.3,24.0,9.8,16.2,0.8,91.7
08685,SANTO TOMÁS,13.6,41.7,1.6,1.4,34.2,17.1,15.2,5.4,3.7,4.0,18.6,9.0,16.7,1.0,85.5
08758,SOLEDAD,5.8,31.4,3.1,2.9,36.0,12.5,10.3,5.4,0.5,1.1,15.9,1.5,19.5,0.6,86.1
08770,SUAN,21.5,56.6,2.9,5.2,45.2,29.7,17.0,4.8,0.1,1.3,18.6,3.8,21.9,1.4,91.2
08832,TUBARÁ,18.8,54.2,1.7,1.3,42.9,11.9,29.7,3.0,1.7,10.2,16.2,9.2,17.3,0.4,83.2
08849,USIACURÍ,16.3,52.4,1.7,0.6,42.9,14.7,50.9,4.3,2.9,3.6,10.6,12.6,16.4,0.4,85.0
11001,"BOGOTÁ, D.C.",2.8,26.2,1.8,4.3,18.9,5.6,0.7,1.9,0.3,0.3,11.5,0.5,18.7,0.5,69.1
13001,CARTAGENA DE INDIAS,6.5,33.5,2.3,2.5,36.7,14.2,7.8,6.4,4.9,5.0,13.4,5.4,17.6,0.7,86.6
13006,ACHÍ,26.7,71.5,3.1,9.1,46.5,15.4,67.3,6.1,6.8,60.3,22.4,19.3,16.6,2.6,94.2
13030,ALTOS DEL ROSARIO,30.0,79.9,2.5,8.6,49.9,23.5,75.0,7.6,14.2,51.5,30.5,27.8,14.9,3.2,96.0
